field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,mag,mag_err_lower,mag_err_upper
1596,6,3,ZTF_r,1016322912315,0,1.6482,195.701,23.5527,26.1894,1.5457e-05,0.0363833,0.103758,2.1931e-05,616,30.0,0.05629,0.04975,19.0562,26.1894,2,2458770.8229167,1596120223,1103.00174636361,93.7087452048338,13.0933530564523,1.09799547025554,1269.42570299837,189.330722245914,6.74996293778694,1.03312106280483,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.582959499870785,18.679356845769753,18.49442725372835
1596,6,3,ZTF_r,1016323362315,0,1.7005,195.95,23.778,26.2195,1.74994e-05,0.0386784,0.10599,2.47314e-05,621,30.0,0.055361,0.048527,19.0481,26.2195,3,2458770.8233681,1596120223,1152.41791346483,99.0883083317416,12.9372624197581,1.09352725929981,1065.50387969142,197.398074418519,5.43409611661426,1.0324248984106,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.565474998899788,18.663089273147907,18.475917467446223
550,14,3,ZTF_g,1017193545515,0,2.4222,83.0828,17.868,26.1605,2.98444e-05,0.0376458,-0.0438011,5.60321e-05,402,30.0,0.063968,0.058956,19.032,26.1605,1,2458771.6935417,550120155,764.430345250384,97.6585483982792,8.70727889531991,0.985508075643189,739.600787207942,160.125611138747,4.64998719297615,1.08187445961776,0.684644289027006,22.5719999790192,0.24099999666214,0.935000002384186,-0.188999995589256,2458277.961921,2458340.977176,0,18.95215520320133,19.100556945664906,18.821619874792606
550,14,3,ZTF_r,1017270555515,0,1.9163,129.206,15.2837,26.103,9.5487e-06,0.02804,0.110296,1.31768e-05,660,30.0,0.060319,0.053825,19.3589,26.103,1,2458771.7705556,550120255,1165.66372223383,68.1798470293302,19.0183160002254,2.08836068311019,1567.4782241571,122.52780603077,12.8789972766281,1.05581355822191,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,18.436566798560822,18.50200462979012,18.37484974523074
1596,6,3,ZTF_r,1017301652315,0,2.6028,188.839,16.0788,26.1933,1.61599e-05,0.0368553,0.123066,2.27693e-05,616,30.0,0.064623,0.057235,19.1574,26.1933,2,2458771.8016551,1596120223,1104.4626455379,90.0453262248875,13.6440925706178,1.05067341959235,975.481327150269,141.010858585088,6.96436614787554,1.07843624446059,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.58542241996824,18.677758361545592,18.500327368906152
1596,6,3,ZTF_r,1017302102315,0,2.2939,195.139,16.2278,26.2104,1.07727e-05,0.0306352,0.110864,1.54406e-05,630,30.0,0.062242,0.052196,19.2673,26.2104,3,2458771.8021065,1596120223,1232.11556066833,75.1353806969283,18.2415506021123,1.05948037440172,1037.53307445274,126.286449237856,8.27104511772465,1.05862186808923,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.483771393970056,18.55208520202162,18.419502591895338
1596,6,3,ZTF_g,1018259492315,0,2.2538,95.5109,14.5309,26.0978,2.54737e-05,0.0397892,-0.0386689,4.78684e-05,455,30.0,0.059597,0.054242,19.2614,26.0978,2,2458772.7594907,1596120123,1024.24817820586,69.8533626870325,16.3107031477201,1.07670233929373,1121.67098765821,118.356392141453,9.5408915890723,1.06110975614771,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,18.571786999596057,18.648479821284564,18.500155925803856
1596,6,3,ZTF_g,1018259942315,0,2.3709,89.5403,15.224,26.0186,2.72222e-05,0.0385412,-0.0315743,5.26673e-05,403,30.0,0.05817,0.055743,19.092,26.0186,3,2458772.7599421,1596120123,906.110449931641,78.3105083396284,12.8711068905421,1.02015200365544,1000.06695155384,128.058135990459,7.86207336397839,1.07152372320634,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,18.625647152407822,18.72378652144562,18.535647871909397
1596,6,3,ZTF_r,1018393272315,0,2.6404,158.056,18.6669,25.9892,2.26431e-05,0.0408638,0.114555,3.28165e-05,540,30.0,0.085275,0.078229,18.7589,25.9892,2,2458772.8932755,1596120223,902.383466322278,98.4837398929042,10.1925159117996,1.06444939602573,711.68979084084,155.301489469586,4.61349768747372,1.06169882009882,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.60072217632842,18.726195297824965,18.48825885084143
1596,6,3,ZTF_r,1018393722315,0,2.5844,154.867,19.3227,25.9592,2.74939e-05,0.044788,0.114002,4.01306e-05,531,30.0,0.087917,0.079499,18.7077,25.9592,3,2458772.8937269,1596120223,973.016676474639,101.635113416531,10.6495512681491,1.01291196454765,1043.88334436411,162.248067623337,6.47720477748838,1.05882147853112,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.48889929080176,18.60867908307673,18.381030584083366
1596,6,3,ZTF_r,1019200682315,0,1.4837,97.7163,19.1594,25.4223,2.9358e-05,0.0463995,0.0940678,4.33854e-05,532,30.0,0.057158,0.058317,18.5985,25.4223,2,2458773.7006829,1596120223,660.656838096514,69.7292200291478,10.5394009881977,1.0725005435095,455.216144494115,148.555615185788,3.08491907791544,1.02848179168621,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.37236016376784,18.493464280026444,18.263418813413587
1596,6,3,ZTF_r,1019259742315,0,1.564,178.302,12.9407,26.0851,1.75911e-05,0.0393808,0.109433,2.47022e-05,637,30.0,0.057527,0.052792,19.6456,26.0851,3,2458773.7597454,1596120223,1222.26695526929,47.6483468408756,28.5346818172004,1.29969231634056,1226.74585384782,93.2272465395816,13.2472866419995,1.02695114119209,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.36718482373913,18.410357808252144,18.325663109131405
550,14,3,ZTF_r,1020201075515,0,2.2474,129.153,7.74958,26.1141,7.1738e-06,0.0244323,0.0982518,9.87269e-06,663,30.0,0.063985,0.052644,19.9853,26.1141,1,2458774.7010764,550120255,1155.25787291698,42.5331115763755,30.2138857453815,1.17714426728947,1166.59942850383,67.6852674947309,17.3517308307368,1.0631284852978,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,18.457402657861167,18.49813061884324,18.41814740019398
1596,6,3,ZTF_r,1020213432315,0,2.0173,195.601,8.48209,26.2154,6.9329e-06,0.0246375,0.106678,9.81327e-06,636,30.0,0.057667,0.048402,20.0623,26.2154,2,2458774.7134375,1596120223,1342.34918114183,38.7349230470332,38.549398482756,1.51063607132664,1281.82337438387,65.0620566681563,19.8342412558798,1.03609455350978,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.395736244475724,18.42752724536759,18.364849683218626
1596,6,3,ZTF_r,1020213882315,0,1.9773,195.602,8.47145,26.215,5.7631e-06,0.0224436,0.106921,8.14924e-06,635,30.0,0.056895,0.050437,20.0682,26.215,3,2458774.7138889,1596120223,1330.48097543047,41.8059720609135,35.4017836826598,1.40661552081944,1196.53634516075,70.850863083935,17.0018406813332,1.03765120562076,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.40497832763048,18.43964148869492,18.371387668581
1596,6,3,ZTF_r,1021303992315,0,1.3906,194.225,7.74974,26.1981,6.8355e-06,0.0242871,0.102526,9.56599e-06,632,30.0,0.064787,0.071836,20.4064,26.1981,2,2458775.8039931,1596120223,1577.43618684001,36.2121985361474,48.4564627138987,2.14213328628971,1446.97018683713,63.2096123685483,23.0457925576776,1.02939687038298,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.20322050138835,18.228435600129096,18.178577730613007
1596,6,3,ZTF_r,1021304442315,0,1.5928,196.281,7.7651,26.2137,7.1807e-06,0.0249426,0.11076,1.00342e-05,633,30.0,0.068148,0.052474,20.3616,26.2137,3,2458775.8044444,1596120223,1495.50786724517,34.5694100630326,48.1228716105999,2.12306487656988,1371.78279735041,58.0609692946943,23.7857178443998,1.03721176152456,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.276728244959827,18.302120196422216,18.251916585928218
1596,6,3,ZTF_r,1022299832315,0,2.2978,194.61,7.6019,26.2041,6.4996e-06,0.0239146,0.112197,9.15096e-06,637,30.0,0.062199,0.051366,20.0572,26.2041,2,2458776.799838,1596120223,1413.76606486292,40.5638828586173,38.7697351448462,1.3190900467432,1490.46306827513,62.9052928456258,23.8533413472212,1.0525504817955,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.32815611769199,18.35976378789056,18.29744263187204
1596,6,3,ZTF_r,1022300282315,0,2.1532,194.983,7.59633,26.2092,6.259e-06,0.0234409,0.109488,8.82128e-06,637,30.0,0.059098,0.049675,20.1138,26.2092,3,2458776.8002894,1596120223,1352.53410364566,41.7476064731329,36.0388931831029,1.15544136390199,1376.25758876289,68.556902973238,20.2098797162253,1.04492321932425,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.381329438772717,18.415370102679574,18.34832367393517
550,14,3,ZTF_r,1023201195515,0,1.9825,129.743,5.99868,26.1193,4.9605e-06,0.0202449,0.095516,6.84938e-06,658,30.0,0.060302,0.050585,20.3677,26.1193,1,2458777.7011921,550120255,1313.88937733114,32.5907686020731,44.8455133494573,1.58690995326433,1305.26216372927,51.3079911688539,25.6110822030744,1.04525609361426,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,18.322902996447976,18.350174113556783,18.296300114868494
1596,6,3,ZTF_r,1023305062315,0,3.0579,193.48,6.95655,26.2052,9.6786e-06,0.0290974,0.115766,1.3694e-05,634,30.0,0.071503,0.059734,19.9443,26.2052,2,2458777.8050694,1596120223,1458.6259816376,46.1534588352054,35.1555982421766,1.18280389252055,1512.85343210595,62.4489458088436,24.3886036391248,1.09904277534112,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.295340137186656,18.330249979676385,18.261517877758706
1596,6,3,ZTF_r,1023305522315,0,2.7429,194.997,6.94419,26.2027,8.6138e-06,0.0274421,0.117931,1.21947e-05,635,30.0,0.067235,0.054842,20.0213,26.2027,3,2458777.8055208,1596120223,1405.24834503623,43.2997083137731,36.1013059677514,1.23923799871347,1356.21042722062,61.2072450536326,22.3069112370769,1.07570659871997,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.333317293760494,18.367298176742064,18.30036773292724
1596,6,3,ZTF_r,1025223292315,0,1.7993,196.877,7.24502,26.2175,1.00057e-05,0.0295994,0.101007,1.41301e-05,635,30.0,0.086212,0.049501,20.3528,26.2175,2,2458779.7232986,1596120223,1531.16803641223,35.9279924722355,47.4072435642377,1.74695236166121,1483.45556404282,59.8389287178772,24.9577783997152,1.03844703483864,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.25494286374743,18.28072270164312,18.22976097478768
1596,6,3,ZTF_r,1025223742315,0,1.7513,198.883,7.12484,26.2204,1.02345e-05,0.0298318,0.100229,1.45266e-05,632,30.0,0.083408,0.047447,20.4005,26.2204,3,2458779.72375,1596120223,1601.39836461235,34.6163656901701,51.4603471491951,2.0562583937879,1541.16330785965,56.1132983195825,27.6501859251307,1.04120211765372,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.209151548352246,18.232878566983388,18.18593197589722
550,14,3,ZTF_g,1027212535515,0,3.3865,86.413,5.26363,26.2216,1.56298e-05,0.0344866,-0.04687,2.39659e-05,599,30.0,0.077086,0.062391,20.1379,26.2216,1,2458781.7125347,550120155,1148.47431175919,39.6939555338835,32.1848661921623,1.09349303851266,1264.33694809417,51.405679775382,24.7609278924984,1.14075162830243,0.684644289027006,22.5719999790192,0.24099999666214,0.935000002384186,-0.188999995589256,2458277.961921,2458340.977176,0,18.57129678586111,18.609486192171858,18.534405126539347
1596,6,3,ZTF_g,1027229242315,0,4.4914,105.934,4.90659,26.1748,3.19275e-05,0.0461259,-0.0785563,5.91303e-05,480,30.0,0.226417,0.069793,19.9724,26.1748,2,2458781.7292477,1596120123,928.15083729625,42.1557430314625,24.4915692932423,1.08497170260676,995.658993755175,49.7966025560079,20.1291807656129,1.26211755975296,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,18.755753598024565,18.80622170696305,18.707527558386484
550,14,3,ZTF_r,1027246855515,0,3.4564,129.507,7.18319,26.1137,1.11126e-05,0.0303454,0.106621,1.52851e-05,660,30.0,0.079844,0.066478,19.7041,26.1137,1,2458781.7468519,550120255,1404.26090863457,56.4673199378697,27.6633920512537,0.974463584843021,1558.84921490042,73.990792183426,21.2100466522989,1.13571641136413,3.59187277804243,23.1130000591278,0.340000003576279,0.700999975204468,-0.479000002145767,2458277.927026,2458437.773692,0,18.2450804843383,18.289641534624153,18.202276444781642
1596,6,3,ZTF_r,1027312122315,0,3.6292,177.541,8.5553,26.1047,1.66168e-05,0.0378916,0.102932,2.35883e-05,627,30.0,0.098188,0.069008,19.4615,26.1047,2,2458781.8121296,1596120223,1297.4143192282,59.779653005044,24.1423809269791,1.09854644868296,1422.4869688591,76.086775991758,18.8215032345719,1.16059835537935,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.32200328295707,18.3732188363079,18.27309519468573
1596,6,3,ZTF_r,1027312582315,0,3.1048,182.021,8.31336,26.1347,1.15721e-05,0.0318215,0.101847,1.6414e-05,635,30.0,0.088788,0.062287,19.6619,26.1347,3,2458781.812581,1596120223,1407.59592984149,58.3243034876092,26.8462260276233,0.961838141209285,1449.32844213909,80.3097068215239,18.1682863794594,1.10137310003581,3.85630796087979,21.461999797821,0.136999994516373,2.35199999809265,0.407000005245209,2458334.930174,2458439.823206,0,18.263504994066995,18.309451530653845,18.219424151944434
1596,6,3,ZTF_g,1029246792315,0,3.1292,108.529,4.68533,26.2085,3.79927e-05,0.0554197,-0.104423,5.79891e-05,587,30.0,0.222282,0.067083,20.3149,26.2085,2,2458783.746794,1596120123,998.995736335468,35.3724451134395,31.4161783961558,1.06295492695714,1105.97938034928,48.1005083321641,23.1479511072822,1.09979990465889,1.96120987156998,21.9259998321533,0.151999995112419,1.11500000953674,-0.0040000001899898,2458314.987789,2458424.702292,0,18.70959091329373,18.74873177861928,18.671812118505784
550,14,3,ZTF_g,1031213695515,0,2.0726,86.0791,5.06737,26.2168,1.08338e-05,0.0300771,-0.0682058,1.51191e-05,656,30.0,0.06939,0.046722,20.6093,26.2168,1,2458785.7136921,550120155,1185.97601782106,31.1335175526568,42.3742980390195,1.273784263046,1236.30205892992,47.0604719640897,26.4474318357256,1.07392295265064,0.684644289027006,22.5719999790192,0.24099999666214,0.935000002384186,-0.188999995589256,2458277.961921,2458340.977176,0,18.531610232389937,18.560493104209833,18.50347583776969
