###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58350.591249  21.825  1.681     7   11 o  0   1.29   2.19813  -8.98482  6108.58  6334.29 2.43 2.23 -64.2 -0.432 19.39 20.85 02a58350o0747o
58350.602078  21.306  1.090    11   12 o  0   1.04   2.19813  -8.98482  6128.07  6219.43 2.41 2.25 -63.8 -0.429 19.43 20.89 02a58350o0769o
58351.538619  19.701  0.352    48   17 o  0   1.29   2.19813  -8.98482  6168.37  3738.64 4.68 3.08  -1.1 -0.390 18.91 20.97 01a58351o0604o
58351.548862  20.859  0.889    16   15 o  0   1.39   2.19813  -8.98482  6187.51  3775.52 3.54 2.89  -2.5 -0.404 19.13 21.01 01a58351o0626o
58351.558903 -21.965  2.300    -6   14 o  0   0.82   2.19813  -8.98482  6128.37  3697.54 2.96 2.89 -14.3 -0.427 19.36 21.19 01a58351o0647o
58351.569383  21.558  1.439     9   12 o  0   0.91   2.19813  -8.98482  6109.84  3812.86 3.17 2.82 -81.1 -0.425 19.36 21.21 01a58351o0669o
58360.555352  21.881  3.818     6   24 o  0   1.04   2.19813  -8.98482  3807.36  2287.71 3.10 2.78   4.6 -0.459 18.62 19.63 01a58360o0715o
58360.565336 -19.255  0.343   -72   25 o  0   0.91   2.19813  -8.98482  3826.11  2326.04 2.86 2.77  79.4 -0.469 18.62 19.60 01a58360o0736o
58360.575345  19.813  0.568    43   24 o  0   1.25   2.19813  -8.98482  3746.93  2248.06 2.84 2.78  21.6 -0.467 18.58 19.57 01a58360o0757o
58360.585633 -19.869  0.643   -41   26 o  0   1.02   2.19813  -8.98482  3728.71  2362.93 2.82 2.74  10.8 -0.474 18.63 19.55 01a58360o0778o
58362.550199 -21.642  1.667    -8   13 o  0   1.40   2.19813  -8.98482  4229.90  6916.89 2.13 2.01 -86.7 -0.492 19.34 20.21 02a58362o0684o
58362.560919  21.235  1.240    12   14 o  0   1.08   2.19813  -8.98482  4211.07  6878.14 2.16 2.11 -82.9 -0.628 19.26 20.18 02a58362o0706o
58362.571040  20.364  0.535    26   14 o  0   1.34   2.19813  -8.98482  4287.81  6955.87 2.36 2.29 -67.5 -0.461 19.15 20.15 02a58362o0727o
58362.581717  20.111  0.387    33   13 o  0   1.28   2.19813  -8.98482  4308.08  6839.92 2.34 2.29 -60.5 -0.474 19.14 20.13 02a58362o0749o
58364.545679  20.534  0.768    22   17 o  0   1.23   2.19813  -8.98482  3299.83  4154.90 4.94 4.01  -0.9 -0.350 18.79 20.95 01a58364o0639o
58364.556360  22.072  2.667     5   14 o  0   1.03   2.19813  -8.98482  3320.52  4193.87 3.49 3.40  69.0 -0.410 19.08 20.93 01a58364o0661o
58364.566476 -20.406  0.566   -25   14 o  0   1.20   2.19813  -8.98482  3260.55  4116.25 3.48 3.34  81.6 -0.409 19.12 20.93 01a58364o0682o
58364.577052  22.780  5.400     3   15 o  0   1.22   2.19813  -8.98482  3242.83  4231.93 3.76 3.52 -89.7 -0.395 19.03 20.93 01a58364o0704o
58370.532024 -23.372  7.750    -2   13 o  0   1.16   2.19813  -8.98482  6216.49  6730.75 2.14 1.97 -70.6 -0.450 19.39 20.33 02a58370o0650o
58370.542748 -20.804  0.759   -17   13 o  0   0.82   2.19813  -8.98482  6196.20  6692.32 2.16 1.94 -60.5 -0.448 19.44 20.29 02a58370o0672o
58370.552869 -20.799  0.699   -17   12 o  0   1.45   2.19813  -8.98482  6254.28  6770.40 2.20 1.95 -63.9 -0.460 19.36 20.30 02a58370o0693o
58370.563628  21.857  1.954     7   13 o  0   1.21   2.19813  -8.98482  6275.56  6655.07 2.16 1.93 -67.8 -0.463 19.37 20.28 02a58370o0715o
58372.523382 -21.250  1.185   -12   14 o  0   1.31   2.19813  -8.98482  4693.74  2894.79 2.90 2.84   5.2 -0.455 19.17 20.73 01a58372o0666o
58372.533965  20.533  0.667    22   15 o  0   1.11   2.19813  -8.98482  4712.74  2932.45 2.95 2.87 -74.4 -0.446 19.13 20.74 01a58372o0688o
58372.544006  20.484  0.585    23   14 o  0   1.24   2.19813  -8.98482  4653.12  2854.74 3.04 2.90 -89.9 -0.440 19.15 20.70 01a58372o0709o
58372.554691  20.321  0.465    27   13 o  0   1.77   2.19813  -8.98482  4634.90  2970.46 2.88 2.70 -86.2 -0.465 19.16 20.72 01a58372o0731o
58376.498479  21.278  1.081    11   12 o  0   1.09   2.19813  -8.98482  5417.99  5168.42 3.02 2.66 -82.9 -0.436 19.40 21.03 01a58376o0587o
58376.508538  20.262  0.404    28   12 o  0   1.03   2.19813  -8.98482  5436.34  5205.84 3.13 2.59 -86.1 -0.439 19.39 21.04 01a58376o0608o
58376.518562  21.419  1.250    10   12 o  0   0.87   2.19813  -8.98482  5376.84  5128.71 3.15 2.66 -84.2 -0.438 19.34 21.01 01a58376o0629o
58376.528625 -21.703  1.452    -8   11 o  0   1.44   2.19813  -8.98482  5358.29  5244.52 3.07 2.58 -86.1 -0.447 19.43 21.00 01a58376o0650o
58377.489767  22.084  2.171     5   12 o  0   0.80   2.19813  -8.98482  5891.11  7584.17 2.50 2.27 -65.4 -0.411 19.49 20.74 02a58377o0604o
58377.499932  21.101  0.824    13   11 o  0   1.26   2.19813  -8.98482  5870.21  7546.53 2.52 2.23 -63.6 -0.409 19.50 20.74 02a58377o0626o
58377.509726  22.968  5.111     2   12 o  0   0.91   2.19813  -8.98482  5927.82  7624.79 2.51 2.26 -63.4 -0.416 19.45 20.71 02a58377o0647o
58377.520007  20.224  0.409    30   12 o  0   1.20   2.19813  -8.98482  5947.96  7509.96 2.25 2.09 -60.3 -0.442 19.50 20.61 02a58377o0669o
58378.500052  20.660  0.551    20   11 o  0   1.15   2.19813  -8.98482  6605.34  6479.00 2.23 2.02 -64.8 -0.434 19.56 20.74 02a58378o0625o
58378.510163  20.704  0.497    19    9 o  0   1.30   2.19813  -8.98482  6587.04  6442.80 2.18 2.00 -65.7 -0.444 19.57 20.78 02a58378o0646o
58378.520263 -20.277  0.331   -28    9 o  0   1.86   2.19813  -8.98482  6644.28  6519.32 2.22 2.01 -68.6 -0.435 19.60 20.75 02a58378o0667o
58378.530354 -20.396  0.365   -25    9 o  0   2.01   2.19813  -8.98482  6663.32  6404.18 2.15 1.97 -66.4 -0.446 19.59 20.73 02a58378o0688o
58379.491632  20.691  2.278    19   44 o  0   0.92   2.19813  -8.98482  4109.43  4147.13 2.81 2.70  -7.6 -0.460 18.11 19.62 01a58379o0608o
58379.498606  19.224  0.409    74   30 o  0   0.86   2.19813  -8.98482  4128.60  4184.65 2.86 2.70   1.3 -0.446 18.55 20.09 01a58379o0623o
58379.511515  23.611 21.333     1   28 o  0   1.22   2.19813  -8.98482  4069.30  4106.49 2.79 2.75 -19.4 -0.458 18.35 19.90 01a58379o0651o
