HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459847.947,2022-09-25.4493122,br,1.45,18.374,>18.374,99.99,-0.153,0.032,g
2459854.937,2022-10-02.4391784,br,1.43,18.387,>18.387,99.99,0.074,0.032,g
2459873.983,2022-10-21.4833406,br,1.51,18.234,>18.234,99.99,-0.182,0.037,g
2459874.867,2022-10-22.3669775,bj,1.5,18.159,>18.159,99.99,-0.024,0.04,g
2459875.904,2022-10-23.4042313,br,1.52,18.227,>18.227,99.99,-0.152,0.037,g
2459876.974,2022-10-24.4737421,br,1.58,18.397,>18.397,99.99,0.058,0.032,g
2459885.975,2022-11-02.4741523,br,1.48,18.803,>18.803,99.99,0.017,0.022,g
2459887.952,2022-11-04.4502649,br,1.46,18.891,>18.891,99.99,-0.02,0.02,g
2459888.948,2022-11-05.4461456,br,2.32,18.744,>18.744,99.99,0.077,0.023,g
2459890.019,2022-11-06.5173728,br,1.54,16.967,>16.967,99.99,-0.066,0.119,g
2459905.951,2022-11-22.4481768,br,1.52,18.836,>18.836,99.99,0.026,0.021,g
2459907.924,2022-11-24.4205629,br,1.43,18.75,>18.750,99.99,0.011,0.023,g
2459908.816,2022-11-25.3124752,bF,2.06,18.52,>18.520,99.99,0.01,0.028,g
2459913.998,2022-11-30.4948048,br,1.56,18.488,>18.488,99.99,0.009,0.029,g
2459918.828,2022-12-05.3238646,bF,1.55,18.293,>18.293,99.99,-0.078,0.035,g
2459920.511,2022-12-07.0069788,bn,1.49,16.315,>16.315,99.99,-0.624,0.216,g
2459931.824,2022-12-18.3188353,bj,1.62,18.168,>18.168,99.99,-0.015,0.039,g
2459933.711,2022-12-20.2064666,bF,1.53,18.608,>18.608,99.99,-0.002,0.026,g
2459933.745,2022-12-20.2401593,bj,1.55,18.202,>18.202,99.99,0.034,0.038,g
2459934.715,2022-12-21.2104190,bj,1.52,18.39,>18.390,99.99,-0.075,0.032,g
2459947.45,2023-01-02.9441302,bn,1.78,17.046,>17.046,99.99,0.101,0.11,g
2459948.686,2023-01-04.1807793,bF,1.54,17.117,>17.117,99.99,0.215,0.103,g
2459948.712,2023-01-04.2064290,bj,1.62,17.033,>17.033,99.99,0.231,0.112,g
2459955.737,2023-01-11.2311938,bj,1.58,17.506,>17.506,99.99,-0.049,0.072,g
2459956.679,2023-01-12.1737302,bj,1.52,17.659,>17.659,99.99,0.151,0.063,g
2459958.807,2023-01-14.3010651,bF,1.51,17.763,>17.763,99.99,0.082,0.057,g
2459962.436,2023-01-17.9299589,bn,2.44,18.263,>18.263,99.99,-0.059,0.036,g
2459967.952,2023-01-23.4465626,br,1.97,18.319,>18.319,99.99,0.079,0.034,g
2459972.961,2023-01-28.4557394,br,1.66,18.281,>18.281,99.99,0.027,0.035,g
2459975.799,2023-01-31.2936603,bF,1.52,18.202,>18.202,99.99,-0.064,0.038,g
2459976.792,2023-02-01.2864587,bF,1.54,18.3,>18.300,99.99,-0.021,0.035,g
2459983.756,2023-02-08.2507335,bF,2.02,16.741,>16.741,99.99,0.103,0.146,g
2459984.639,2023-02-09.1337740,bj,1.63,17.487,>17.487,99.99,0.129,0.073,g
2459994.324,2023-02-18.8188309,bn,1.59,18.665,>18.665,99.99,-0.095,0.025,g
2459995.685,2023-02-20.1797342,bj,1.52,18.69,>18.690,99.99,0.019,0.024,g
2459996.627,2023-02-21.1220767,bj,1.57,18.024,>18.024,99.99,0.099,0.045,g
2459997.691,2023-02-22.1865180,bj,1.58,18.369,>18.369,99.99,-0.118,0.033,g
2459998.716,2023-02-23.2116460,bj,1.58,17.971,>17.971,99.99,-0.06,0.047,g
2459999.663,2023-02-24.1582346,bF,1.62,18.474,>18.474,99.99,-0.028,0.03,g
2460000.679,2023-02-25.1749283,bj,1.61,18.245,>18.245,99.99,-0.194,0.037,g
2460000.698,2023-02-25.1933017,bF,2.02,18.239,>18.239,99.99,0.019,0.037,g
2460001.641,2023-02-26.1365914,bj,1.61,18.609,>18.609,99.99,-0.047,0.026,g
2460003.56,2023-02-28.0555877,bj,1.6,17.722,>17.722,99.99,0.065,0.059,g
2460012.441,2023-03-08.9373673,bn,2.01,16.475,>16.475,99.99,0.848,0.187,g
2460013.835,2023-03-10.3315346,br,1.51,17.075,>17.075,99.99,0.248,0.107,g
2460014.546,2023-03-11.0422969,bj,1.61,18.134,>18.134,99.99,-0.021,0.04,g
2460016.662,2023-03-13.1583424,bj,1.57,17.286,>17.286,99.99,-0.287,0.088,g
2460019.841,2023-03-16.3381193,br,1.74,18.506,>18.506,99.99,-0.06,0.029,g
2460022.409,2023-03-18.9063024,bn,1.56,17.752,>17.752,99.99,-0.061,0.058,g
2460028.589,2023-03-25.0865951,br,1.53,17.86,>17.860,99.99,0.069,0.052,g
2460029.707,2023-03-26.2040114,br,1.43,19.208,>19.208,99.99,-0.025,0.015,g
2460043.591,2023-04-09.0892699,bF,1.59,17.207,>17.207,99.99,-0.276,0.095,g
2460044.75,2023-04-10.2492697,br,1.6,17.429,>17.429,99.99,0.155,0.078,g
2460047.554,2023-04-13.0531675,bj,1.51,17.989,>17.989,99.99,0.116,0.046,g
2460049.659,2023-04-15.1582467,br,1.48,18.895,>18.895,99.99,-0.005,0.02,g
2460050.663,2023-04-16.1619467,br,1.42,18.435,>18.435,99.99,-0.098,0.031,g
2460051.57,2023-04-17.0699572,bF,1.6,18.255,>18.255,99.99,-0.129,0.036,g
2460051.629,2023-04-17.1280480,br,1.41,18.465,>18.465,99.99,0.008,0.03,g
2460054.557,2023-04-20.0568432,bj,1.54,18.165,>18.165,99.99,-0.065,0.039,g
2460056.54,2023-04-22.0402333,bj,1.54,18.175,>18.175,99.99,0.107,0.039,g
2460058.766,2023-04-24.2661053,,1.4,99.99,99.99,99.99,99.99,99.99,
2460066.216,2023-05-01.7172649,bn,2.32,14.519,>14.519,99.99,-0.419,1.131,g
2460069.507,2023-05-05.0082547,bj,1.63,16.582,>16.582,99.99,0.278,0.169,g
2460070.663,2023-05-06.1646769,br,1.42,16.838,>16.838,99.99,-0.128,0.134,g
2460073.749,2023-05-09.2514314,,1.69,99.99,99.99,99.99,99.99,99.99,
2460075.21,2023-05-10.7116932,bn,1.61,18.073,>18.073,99.99,0.033,0.043,g
2460075.635,2023-05-11.1369387,br,2.39,18.483,>18.483,99.99,0.008,0.029,g
2460076.454,2023-05-11.9558813,bj,1.74,16.977,>16.977,99.99,-0.021,0.118,g
2460076.635,2023-05-12.1376835,br,2.15,18.257,>18.257,99.99,0.072,0.036,g
2460077.473,2023-05-12.9752368,bF,1.66,18.403,>18.403,99.99,0.025,0.032,g
2460078.45,2023-05-13.9525743,bj,2.22,16.815,>16.815,99.99,-0.023,0.136,g
2460081.619,2023-05-17.1218155,br,1.67,17.089,>17.089,99.99,-0.299,0.106,g
2460085.45,2023-05-20.9527844,bj,1.67,17.352,>17.352,99.99,-0.15,0.083,g
2460192.13,2023-09-04.6343454,,1.52,99.99,99.99,99.99,99.99,99.99,
2460202.107,2023-09-14.6104182,,1.77,99.99,99.99,99.99,99.99,99.99,
