dateobs jd mag dmag telescope filter magtype
2021-11-08 2459527.45834 20.3584 0.1035 1m0-01 B 1
2021-11-08 2459527.46328 20.5088 0.1104 1m0-01 B 1
2021-11-08 2459527.46841 19.1114 0.0532 1m0-01 V 1
2021-11-08 2459527.47220 18.9917 0.0551 1m0-01 V 1
2021-11-08 2459527.47619 19.6058 0.0634 1m0-01 g 1
2021-11-08 2459527.48113 19.8146 0.0722 1m0-01 g 1
2021-11-08 2459527.48625 18.4850 0.0354 1m0-01 r 1
2021-11-08 2459527.49003 18.4871 0.0301 1m0-01 r 1
2021-11-08 2459527.49400 18.1503 0.0408 1m0-01 i 1
2021-11-08 2459527.49780 18.1967 0.0379 1m0-01 i 1
2021-11-15 2459533.96583 19.2283 0.0475 1m0-11 V 1
2021-11-15 2459533.96961 19.1982 0.0447 1m0-11 V 1
2021-11-15 2459533.98744 18.4033 0.0465 1m0-11 r 1
2021-11-15 2459533.99142 18.4496 0.0582 1m0-11 i 1
2021-11-15 2459533.99522 18.4027 0.0475 1m0-11 i 1
2021-11-15 2459534.32443 19.2989 0.0522 1m0-13 V 1
2021-11-15 2459534.32821 19.2107 0.0687 1m0-13 V 1
2021-11-15 2459534.33705 19.6497 0.0606 1m0-13 g 1
2021-11-15 2459534.34204 18.6335 0.0465 1m0-13 r 1
2021-11-15 2459534.34583 18.5592 0.0437 1m0-13 r 1
2021-11-15 2459534.34968 18.2087 0.0553 1m0-13 i 1
2021-11-15 2459534.35347 18.4814 0.0769 1m0-13 i 1
2021-11-21 2459539.70674 20.0408 0.0751 1m0-08 B 1
2021-11-21 2459539.71168 19.8387 0.0626 1m0-08 B 1
2021-11-21 2459539.71683 18.9178 0.0600 1m0-08 V 1
2021-11-21 2459539.72062 19.1575 0.0746 1m0-08 V 1
2021-11-21 2459539.73474 18.7641 0.0494 1m0-08 r 1
2021-11-21 2459539.73853 18.7600 0.0484 1m0-08 r 1
2021-11-21 2459539.74251 18.4959 0.0622 1m0-08 i 1
2021-11-21 2459539.74630 18.6766 0.0710 1m0-08 i 1
2021-11-29 2459547.81622 20.3023 0.2657 1m0-08 B 1
2021-11-29 2459547.82117 20.2450 0.2098 1m0-08 B 1
2021-11-29 2459547.83009 19.2741 0.2076 1m0-08 V 1
2021-11-29 2459547.83408 19.8702 0.2961 1m0-08 g 1
2021-11-29 2459547.83902 19.4920 0.2682 1m0-08 g 1
2021-11-29 2459547.84414 18.8476 0.0756 1m0-08 r 1
2021-11-29 2459547.84792 18.9918 0.0785 1m0-08 r 1
2021-11-29 2459547.85191 18.9167 0.1216 1m0-08 i 1
2021-11-29 2459547.85569 18.7361 0.0740 1m0-08 i 1
2021-12-04 2459552.95059 20.7374 0.2507 1m0-03 B 1
2021-12-04 2459552.95553 20.6292 0.2696 1m0-03 B 1
2021-12-04 2459552.96067 19.3971 0.0982 1m0-03 V 1
2021-12-04 2459552.96445 19.3683 0.0854 1m0-03 V 1
2021-12-04 2459552.96841 19.9387 0.1140 1m0-03 g 1
2021-12-04 2459552.97335 19.9031 0.1120 1m0-03 g 1
2021-12-04 2459552.97847 19.0334 0.0381 1m0-03 r 1
2021-12-04 2459552.98225 18.9494 0.0390 1m0-03 r 1
2021-12-04 2459552.98623 18.7058 0.0437 1m0-03 i 1
2021-12-04 2459552.99001 18.6341 0.0671 1m0-03 i 1
2021-12-11 2459559.61154 20.4606 0.1283 1m0-08 B 1
2021-12-11 2459559.61649 20.2719 0.1342 1m0-08 B 1
2021-12-11 2459559.62164 19.5313 0.0805 1m0-08 V 1
2021-12-11 2459559.62542 19.7010 0.0913 1m0-08 V 1
2021-12-11 2459559.62940 20.0684 0.1389 1m0-08 g 1
2021-12-11 2459559.63433 20.1453 0.0933 1m0-08 g 1
2021-12-11 2459559.63949 19.1069 0.1180 1m0-08 r 1
2021-12-11 2459559.64327 19.1433 0.0610 1m0-08 r 1
2021-12-11 2459559.64726 18.8834 0.1147 1m0-08 i 1
2021-12-11 2459559.65103 19.1527 0.1695 1m0-08 i 1
2021-12-18 2459566.55734 20.8158 0.1016 1m0-05 B 1
2021-12-18 2459566.56248 20.1636 0.1150 1m0-05 V 1
2021-12-18 2459566.56626 19.7529 0.0962 1m0-05 V 1
2021-12-18 2459566.57023 20.3579 0.1241 1m0-05 g 1
2021-12-18 2459566.57517 20.3096 0.1221 1m0-05 g 1
2021-12-18 2459566.58031 19.1018 0.0716 1m0-05 r 1
2021-12-18 2459566.58409 19.3797 0.0903 1m0-05 r 1
2021-12-18 2459566.58807 19.2140 0.1087 1m0-05 i 1
2021-12-18 2459566.59186 19.0252 0.1047 1m0-05 i 1
2021-12-25 2459574.48644 21.0404 0.2916 1m0-01 B 1
2021-12-25 2459574.49139 21.1219 0.2507 1m0-01 B 1
2021-12-25 2459574.49652 19.7643 0.0943 1m0-01 V 1
2021-12-26 2459574.50031 19.7486 0.1022 1m0-01 V 1
2021-12-26 2459574.50428 20.3897 0.1280 1m0-01 g 1
2021-12-26 2459574.50921 20.2684 0.1121 1m0-01 g 1
2021-12-26 2459574.51434 19.5868 0.0678 1m0-01 r 1
2021-12-26 2459574.51812 19.6791 0.0775 1m0-01 r 1
2021-12-26 2459574.52208 19.3302 0.1157 1m0-01 i 1
2021-12-26 2459574.52586 19.3332 0.1346 1m0-01 i 1
2022-01-05 2459584.58909 20.9778 0.1958 1m0-04 B 1
2022-01-05 2459584.59403 20.6298 0.1303 1m0-04 B 1
2022-01-05 2459584.59914 20.0703 0.1349 1m0-04 V 1
2022-01-05 2459584.60294 19.9009 0.1091 1m0-04 V 1
2022-01-05 2459584.60691 20.5392 0.1600 1m0-04 g 1
2022-01-05 2459584.61184 20.4972 0.1352 1m0-04 g 1
2022-01-05 2459584.61696 19.7994 0.1220 1m0-04 r 1
2022-01-05 2459584.62075 19.5995 0.0952 1m0-04 r 1
2022-01-05 2459584.62474 19.5125 0.1177 1m0-04 i 1
2022-01-05 2459584.62854 19.5768 0.1157 1m0-04 i 1
2022-01-16 2459595.97003 20.2915 0.0768 1m0-03 g 1
2022-01-16 2459595.97516 19.9678 0.0914 1m0-03 r 1
2022-01-16 2459595.97893 19.7757 0.1677 1m0-03 r 1
2022-01-16 2459595.98290 19.7388 0.2134 1m0-03 i 1
2022-01-16 2459595.98668 19.5833 0.1855 1m0-03 i 1
2022-01-27 2459606.53481 21.8882 0.4235 1m0-05 B 1
2022-01-27 2459606.53996 20.1417 0.1241 1m0-05 V 1
2022-01-27 2459606.54373 20.6470 0.2286 1m0-05 V 1
2022-01-27 2459606.54770 20.8162 0.1976 1m0-05 g 1
2022-01-27 2459606.55265 20.8304 0.2075 1m0-05 g 1
2022-01-27 2459606.55778 20.2403 0.1785 1m0-05 r 1
2022-01-27 2459606.56156 20.7303 0.2456 1m0-05 r 1
2022-02-12 2459622.57977 21.8742 0.3205 1m0-08 B 1
2022-02-12 2459622.58471 21.1792 0.2198 1m0-08 B 1
2022-02-12 2459622.58989 20.5783 0.1986 1m0-08 V 1
2022-02-12 2459622.59367 20.1560 0.1568 1m0-08 V 1
2022-02-12 2459622.59766 21.5822 0.1883 1m0-08 g 1
2022-02-12 2459622.60260 21.7066 0.1952 1m0-08 g 1
2022-02-12 2459622.60775 20.8393 0.1439 1m0-08 r 1
2022-02-12 2459622.61153 20.2526 0.1230 1m0-08 r 1
2022-02-12 2459622.61550 20.0444 0.1516 1m0-08 i 1
2022-02-12 2459622.61930 21.2252 0.3493 1m0-08 i 1
2022-02-23 2459633.60604 16.8504 0.0841 1m0-08 B 1
2022-02-23 2459633.61117 20.9832 0.4133 1m0-08 V 1
2022-02-23 2459633.61496 21.0913 0.3314 1m0-08 V 1
2022-02-23 2459633.61893 21.0959 0.1973 1m0-08 g 1
2022-02-23 2459633.62387 21.3603 0.3058 1m0-08 g 1
2022-02-23 2459633.62899 20.9359 0.5063 1m0-08 r 1
2022-02-23 2459633.63279 20.5800 0.4064 1m0-08 r 1
2022-02-23 2459633.63675 20.1912 0.2337 1m0-08 i 1
