JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,norm_t,norm_m,max_ztf_err,mag_err_all
2458977.963971,o,19.488,,,0.301,atlas,11.073941000271589,0.19099999999999895,,0.301
2458977.964435,o,19.418,,,0.307,atlas,11.074405000079423,0.12099999999999866,,0.307
2458977.979039,o,19.664,,,0.403,atlas,11.089008999988437,0.3670000000000009,,0.403
2458979.91745,o,18.746,,,0.133,atlas,13.027420000173151,-0.5510000000000019,,0.133
2458979.920652,o,18.909,,,0.149,atlas,13.030621999874711,-0.3880000000000017,,0.149
2458979.93829,o,19.281,,,0.221,atlas,13.048260000068694,-0.01600000000000179,,0.221
2458979.95754,o,18.714,,,0.155,atlas,13.067509999964386,-0.583000000000002,,0.155
2458981.89003,o,19.297,,,0.136,atlas,15.0,0.0,,0.136
2458981.894187,o,18.887,,,0.103,atlas,15.004157000221312,-0.41000000000000014,,0.103
2458981.898286,o,19.087,,,0.123,atlas,15.008256000000983,-0.21000000000000085,,0.123
2458981.900227,o,18.908,,,0.105,atlas,15.010197000112385,-0.38899999999999935,,0.105
2458981.908253,o,18.99,,,0.133,atlas,15.01822300022468,-0.30700000000000216,,0.133
2458981.911935,o,18.74,,,0.099,atlas,15.021905000321567,-0.5570000000000022,,0.099
2458981.912394,o,18.64,,,0.083,atlas,15.02236400032416,-0.657,,0.083
2458981.921958,o,19.42,,,0.187,atlas,15.031928000040352,0.12300000000000111,,0.187
2458983.851399,c,19.13,,,0.122,atlas,16.96136899990961,-0.1670000000000016,,0.122
2458983.856391,c,19.134,,,0.124,atlas,16.966361000202596,-0.16300000000000026,,0.124
2458983.86081,c,19.306,,,0.136,atlas,16.9707800000906,0.009000000000000341,,0.136
2458983.871025,c,19.344,,,0.148,atlas,16.980994999874383,0.0470000000000006,,0.148
2458985.885298,o,19.073,,,0.118,atlas,18.995268000289798,-0.2240000000000002,,0.118
2458985.895869,o,18.918,,,0.086,atlas,19.005838999990374,-0.37900000000000134,,0.086
2458985.902751,o,19.286,,,0.131,atlas,19.012721000239253,-0.010999999999999233,,0.131
2458985.905977,o,19.119,,,0.125,atlas,19.01594700012356,-0.17800000000000082,,0.125
2458987.914778,c,19.317,,,0.14,atlas,21.024748000316322,0.019999999999999574,,0.14
2458987.917561,c,19.321,,,0.132,atlas,21.02753100031987,0.02400000000000091,,0.132
2458987.924494,c,19.076,,,0.093,atlas,21.034464000258595,-0.22100000000000009,,0.093
2458987.943405,c,19.273,,,0.11,atlas,21.05337500013411,-0.02400000000000091,,0.11
2458989.840651,o,19.04,,,0.092,atlas,22.95062100002542,-0.25700000000000145,,0.092
2458989.850659,o,19.02,,,0.092,atlas,22.96062900032848,-0.277000000000001,,0.092
2458989.85533,o,18.927,,,0.086,atlas,22.96530000027269,-0.370000000000001,,0.086
2458989.8605,o,19.021,,,0.089,atlas,22.970470000058413,-0.2759999999999998,,0.089
