 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 908 627 14 2 ZTF_r 1568294745415 0 1.6282 259.691 6.87663 26.2437 9.1837e-06 0.0210143 0.0985744 1.39699e-05 291 30. 0.08358 0.069313 20.5125 26.2437 2 2459322.7947454 627120254 -20.1653181926335 24.9391254179083 -0.899453385997496 0.993246800924471 -27.7406066337215 49.5474909887593 -0.563649958012782 1.03879048185711 1.15138946976628 20.110000038147 0.0860000029206276 3.19600009918213 0.287000000476837 2458155.966875 2458186.935347 0
 909 627 14 2 ZTF_g 1568317935415 0 2.2877 81.8428 6.15602 26.3355 2.41126e-05 0.0340005 -0.0683857 3.68973e-05 289 30. 0.099183 0.07273 20.4672 26.3355 1 2459322.8179398 627120154 -14.1860620420632 28.3200574496345 -0.557214649752141 0.913342722856045 -35.4283061981079 47.8183452816454 -0.745883565578061 1.08008173706528 1.54583917557523 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 910 627 14 2 ZTF_g 1568338725415 0 2.4928 82.07 5.47629 26.3323 2.54862e-05 0.0351675 -0.0567032 3.92229e-05 291 30. 0.100488 0.076779 20.5245 26.3323 2 2459322.8387269 627120154 7.66004621139847 27.7222315271194 0.307367542243388 0.905442298836164 1.69350878990526 45.0654696317984 0.0378319516687817 1.09936709262112 1.54583917557523 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 911 627 14 2 ZTF_g 1569269285415 0 2.2843 80.8377 6.88827 26.3208 1.96015e-05 0.0303835 -0.0593744 3.01091e-05 284 30. 0.08257 0.076054 20.2907 26.3208 2 2459323.7692824 627120154 -28.9638272342851 35.079565058545 -0.918452180096761 0.943901847076492 -53.1479221512101 59.4743440259973 -0.899646349043732 1.07567096599446 1.54583917557523 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 912 627 14 2 ZTF_g 1569294525415 0 2.1275 81.9961 7.11526 26.3317 2.0818e-05 0.0317043 -0.0644497 3.23686e-05 288 30. 0.084116 0.068428 20.3449 26.3317 2 2459323.7945255 627120154 17.0979177937069 31.323178085706 0.607200619710408 1.00356329175251 58.1606078242389 54.7062890867462 1.07030332054429 1.07454236477975 1.54583917557523 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 913 627 14 2 ZTF_r 1569332075415 0 1.9248 264.002 6.49584 26.2513 9.414e-06 0.0212579 0.0984062 1.43158e-05 291 30. 0.083318 0.070136 20.4613 26.2513 2 2459323.8320718 627120254 10.0867602526172 25.7440868881836 0.435841927918082 1.03628159036836 8.32121022752064 47.5308133137062 0.176248910404135 1.05316289505224 1.15138946976628 20.110000038147 0.0860000029206276 3.19600009918213 0.287000000476837 2458155.966875 2458186.935347 0
 914 627 14 2 ZTF_r 1569364085415 0 2.0392 263.875 6.37596 26.2467 1.06653e-05 0.0225376 0.100567 1.61651e-05 290 30. 0.087107 0.069876 20.4211 26.2467 2 2459323.8640856 627120254 9.50287779930371 26.8350424170329 0.393919662864769 1.08862810709876 -4.59963887727208 49.3839569997526 -0.0937676523121366 1.05011079122675 1.15138946976628 20.110000038147 0.0860000029206276 3.19600009918213 0.287000000476837 2458155.966875 2458186.935347 0
 915 627 14 2 ZTF_g 1570174735415 0 2.8652 74.719 9.2581 26.2372 3.26025e-05 0.0376582 -0.0251829 6.03512e-05 249 30. 0.094601 0.088276 19.6998 26.2372 2 2459324.6747338 627120154 -52.0063134062224 55.6894801781247 -1.03881378931921 0.989280324397712 -81.4026195391097 83.9849357180872 -0.975780598800277 1.11178390690757 1.54583917557523 20.9779998779297 0.125 2.94600009918213 0.335999995470047 2458166.916574 2458274.755579 0
 916 627 14 2 ZTF_r 1570232745415 0 2.6203 262.37 7.84693 26.2531 1.54197e-05 0.0269465 0.0993876 2.36456e-05 288 30. 0.09067 0.080662 19.9721 26.2531 2 2459324.7327431 627120254 -1.78360270892966 43.1408743097934 -0.0459900606112495 0.919997472524966 -89.2194098041503 68.4641395565774 -1.31193217710983 1.07175464843055 1.15138946976628 20.110000038147 0.0860000029206276 3.19600009918213 0.287000000476837 2458155.966875 2458186.935347 0
 917 1671 5 0 ZTF_r 1570244031615 0 1.9708 266.105 7.1646 26.2388 1.5541e-05 0.0267166 0.117965 2.40651e-05 273 30. 0.084357 0.073255 20.3364 26.2388 2 2459324.7440394 1671120216 -35.6485814485698 27.7447372614208 -1.42927710648603 1.14377173939976 -98.7765905893121 51.4669948032686 -1.93214810754246 1.0556379083931 2.46166032084653 20.1420001029968 0.109999999403954 4.60500001907349 0.50900000333786 2458154.953472 2458618.759340 0
