HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459162.792,2020-11-09.2875995,bt,1.6,18.273,>18.273,99.99,0.029,0.036,g
2459166.827,2020-11-13.3228502,bD,1.69,18.804,>18.804,99.99,-0.046,0.022,g
2459170.906,2020-11-17.4020359,bD,1.47,18.679,>18.679,99.99,0.05,0.025,g
2459172.564,2020-11-19.0599364,bH,1.42,18.309,>18.309,99.99,0.033,0.034,g
2459173.79,2020-11-20.2859707,bt,1.51,18.466,>18.466,99.99,-0.001,0.03,g
2459174.765,2020-11-21.2612576,bt,1.56,18.253,>18.253,99.99,0.029,0.036,g
2459175.778,2020-11-22.2741260,bt,1.48,18.344,>18.344,99.99,-0.003,0.033,g
2459180.762,2020-11-27.2590212,bD,1.61,17.96,>17.960,99.99,-0.004,0.048,g
2459184.803,2020-12-01.3001685,bD,1.53,17.801,>17.801,99.99,-0.026,0.055,g
2459185.623,2020-12-02.1202390,bl,1.52,17.034,>17.034,99.99,0.273,0.112,g
2459186.815,2020-12-03.3123388,bD,1.53,18.331,>18.331,99.99,-0.026,0.034,g
2459187.599,2020-12-04.0967748,bl,1.53,18.886,>18.886,99.99,-0.014,0.02,g
2459189.733,2020-12-06.2302932,bD,1.5,19.346,>19.346,99.99,-0.031,0.013,g
2459195.81,2020-12-12.3076006,bD,1.49,19.131,>19.131,99.99,0.009,0.016,g
2459202.537,2020-12-19.0356275,bl,2.16,17.592,>17.592,99.99,-0.025,0.067,g
2459209.768,2020-12-26.2669753,bD,1.47,17.762,>17.762,99.99,0.07,0.057,g
2459213.539,2020-12-30.0390302,bH,2.18,16.587,>16.587,99.99,-0.067,0.168,g
2459215.539,2021-01-01.0387342,bl,1.74,17.524,>17.524,99.99,-0.206,0.071,g
2459220.702,2021-01-06.2028564,bD,2.13,18.062,>18.062,99.99,-0.041,0.043,g
2459221.718,2021-01-07.2185575,bD,1.5,18.626,>18.626,99.99,0.034,0.026,g
2459223.604,2021-01-09.1049431,bt,1.68,18.529,>18.529,99.99,0.011,0.028,g
2459227.724,2021-01-13.2250891,bD,1.48,18.831,>18.831,99.99,-0.046,0.021,g
2459228.588,2021-01-14.0892722,bt,1.85,17.932,>17.932,99.99,-0.09,0.049,g
2459229.619,2021-01-15.1206488,bt,1.61,18.558,>18.558,99.99,-0.013,0.027,g
2459248.567,2021-02-03.0696737,bt,2.13,18.297,>18.297,99.99,0.122,0.035,g
2459345.119,2021-05-10.6229459,bD,1.45,16.525,>16.525,99.99,0.033,0.178,g
2459346.115,2021-05-11.6195267,bD,1.52,17.344,>17.344,99.99,0.058,0.084,g
2459347.112,2021-05-12.6161173,bD,1.49,17.511,>17.511,99.99,-0.085,0.072,g
2459350.109,2021-05-15.6134373,bD,1.62,17.942,>17.942,99.99,0.061,0.048,g
2459353.945,2021-05-19.4488881,bt,1.68,17.807,>17.807,99.99,0.156,0.055,g
2459357.097,2021-05-22.6008296,bD,1.5,18.506,>18.506,99.99,-0.042,0.029,g
2459361.907,2021-05-27.4097309,bH,1.46,16.775,>16.775,99.99,0.159,0.142,g
2459367.075,2021-06-01.5776466,bD,1.47,18.039,>18.039,99.99,-0.166,0.044,g
2459375.038,2021-06-09.5402375,bD,1.75,18.677,>18.677,99.99,0.024,0.025,g
2459377.105,2021-06-11.6071577,bD,1.49,18.583,>18.583,99.99,-0.031,0.027,g
2459380.102,2021-06-14.6041988,bD,1.5,18.691,>18.691,99.99,0.041,0.024,g
2459382.922,2021-06-17.4230607,bt,1.49,18.522,>18.522,99.99,-0.138,0.028,g
2459385.021,2021-06-19.5221376,bD,1.62,18.736,>18.736,99.99,-0.042,0.023,g
2459388.038,2021-06-22.5387026,bD,1.58,18.424,>18.424,99.99,0.019,0.031,g
2459392.02,2021-06-26.5202938,bD,1.47,17.747,>17.747,99.99,0.105,0.058,g
2459395.994,2021-06-30.4940629,bD,1.6,18.001,>18.001,99.99,0.031,0.046,g
2459399.015,2021-07-03.5153414,bD,1.6,18.523,>18.523,99.99,-0.027,0.028,g
2459402.66,2021-07-07.1594646,bp,1.55,18.563,>18.563,99.99,0.016,0.027,g
2459405.012,2021-07-09.5118351,bD,1.46,18.867,>18.867,99.99,-0.015,0.021,g
2459406.575,2021-07-11.0745954,bp,1.51,18.36,>18.360,99.99,0.022,0.033,g
2459408.946,2021-07-13.4450574,bl,1.5,17.094,>17.094,99.99,-0.065,0.106,g
2459410.582,2021-07-15.0808593,bp,1.53,18.406,>18.406,99.99,-0.019,0.032,g
2459411.668,2021-07-16.1664744,bp,1.7,18.528,>18.528,99.99,-0.124,0.028,g
2459414.791,2021-07-19.2899990,bl,1.49,18.323,>18.323,99.99,-0.007,0.034,g
2459416.776,2021-07-21.2747101,bl,1.98,17.235,>17.235,99.99,-0.11,0.093,g
2459417.843,2021-07-22.3416138,bt,1.55,16.794,>16.794,99.99,0.046,0.139,g
2459420.622,2021-07-25.1204031,bp,1.59,16.823,>16.823,99.99,0.133,0.136,g
2459423.507,2021-07-28.0049328,bp,1.73,16.878,16.704,0.187,0.756,0.129,g
2459426.756,2021-07-31.2533053,bH,1.43,17.654,>17.654,99.99,0.146,0.063,g
2459427.76,2021-08-01.2577501,bH,1.44,17.861,>17.861,99.99,-0.146,0.052,g
2459429.787,2021-08-03.2844666,bl,1.49,18.343,>18.343,99.99,-0.063,0.033,g
2459430.738,2021-08-04.2349776,bl,1.48,18.033,>18.033,99.99,0.074,0.044,g
2459431.741,2021-08-05.2381751,bl,1.52,18.232,>18.232,99.99,0.045,0.037,g
2459432.743,2021-08-06.2397229,bH,1.39,18.538,>18.538,99.99,-0.088,0.028,g
2459433.739,2021-08-07.2359243,bH,1.47,18.502,>18.502,99.99,0,0.029,g
2459436.101,2021-08-09.5977958,bD,1.45,17.863,>17.863,99.99,-0.163,0.052,g
2459436.972,2021-08-10.4682965,bt,1.48,18.071,>18.071,99.99,-0.135,0.043,g
2459437.79,2021-08-11.2870642,bH,1.38,18.436,>18.436,99.99,-0.011,0.031,g
2459439.719,2021-08-13.2155509,bl,1.67,18.41,>18.410,99.99,-0.073,0.031,g
2459441.081,2021-08-14.5769490,bD,1.46,18.663,>18.663,99.99,-0.082,0.025,g
2459443.718,2021-08-17.2138228,bH,1.43,17.746,>17.746,99.99,-0.183,0.058,g
2459444.756,2021-08-18.2517627,bH,1.43,17.585,>17.585,99.99,0.035,0.067,g
2459446.904,2021-08-20.3999540,bD,1.55,17.856,>17.856,99.99,0.043,0.052,g
2459447.793,2021-08-21.2892635,bH,1.38,16.904,>16.904,99.99,0.245,0.126,g
2459453.835,2021-08-27.3304634,bD,1.51,18.229,>18.229,99.99,0.002,0.037,g
2459455.027,2021-08-28.5224473,bD,1.46,18.337,>18.337,99.99,0.025,0.034,g
2459457.997,2021-08-31.4928953,bD,1.5,18.533,>18.533,99.99,-0.03,0.028,g
2459459.437,2021-09-01.9324239,bp,1.7,18.515,>18.515,99.99,-0.028,0.029,g
2459462.485,2021-09-04.9803605,bp,1.63,18.474,>18.474,99.99,0.055,0.03,g
2459466.075,2021-09-08.5699944,bD,1.45,18.79,>18.790,99.99,-0.079,0.022,g
2459467.018,2021-09-09.5129208,bD,1.57,18.74,>18.740,99.99,-0.032,0.023,g
2459472.625,2021-09-15.1202990,bH,1.49,17.53,>17.530,99.99,-0.044,0.071,g
2459474.607,2021-09-17.1016004,bH,1.42,16.89,>16.890,99.99,-0.487,0.127,g
2459475.743,2021-09-18.2375740,bt,1.48,17.415,>17.415,99.99,-0.244,0.079,g
2459481.443,2021-09-23.9379225,bp,1.59,16.78,>16.780,99.99,-0.14,0.141,g
2459482.847,2021-09-25.3413652,bD,1.65,18.176,>18.176,99.99,0.068,0.039,g
2459483.355,2021-09-25.8496839,bp,1.58,18.054,>18.054,99.99,0.175,0.044,g
2459485.749,2021-09-28.2435968,bD,1.5,18.626,>18.626,99.99,-0.032,0.026,g
2459486.931,2021-09-29.4253248,bt,1.51,18.094,>18.094,99.99,0.112,0.042,g
2459488.704,2021-10-01.1981974,bl,1.55,18.322,>18.322,99.99,-0.002,0.034,g
2459491.728,2021-10-04.2230100,bl,1.53,18.154,>18.154,99.99,-0.079,0.04,g
2459492.66,2021-10-05.1547310,bl,1.54,18.277,>18.277,99.99,-0.04,0.035,g
2459493.361,2021-10-05.8556953,bp,1.52,18.446,>18.446,99.99,-0.038,0.03,g
2459496.716,2021-10-09.2103141,bD,2.07,18.276,>18.276,99.99,-0.055,0.036,g
2459497.3,2021-10-09.7941143,bp,1.55,18.767,>18.767,99.99,0.012,0.023,g
2459497.693,2021-10-10.1872184,bl,1.53,18.196,>18.196,99.99,0.066,0.038,g
2459499.789,2021-10-12.2832268,bt,1.54,18.704,>18.704,99.99,-0.01,0.024,g
2459500.777,2021-10-13.2717961,bH,1.45,18.12,>18.120,99.99,-0.007,0.041,g
2459501.756,2021-10-14.2510488,bl,1.51,17.736,>17.736,99.99,0.099,0.058,g
2459503.625,2021-10-16.1192732,bt,1.57,18.054,>18.054,99.99,-0.015,0.044,g
2459509.539,2021-10-22.0338877,bl,1.61,17.018,>17.018,99.99,0.248,0.113,g
2459513.674,2021-10-26.1692975,bl,1.47,18.105,>18.105,99.99,0.03,0.042,g
2459514.474,2021-10-26.9693870,bp,1.68,17.358,>17.358,99.99,-0.185,0.083,g
2459517.701,2021-10-30.1959571,bD,1.94,17.864,>17.864,99.99,0.013,0.052,g
2459520.804,2021-11-02.2987552,bD,1.46,18.787,>18.787,99.99,0.024,0.022,g
2459521.618,2021-11-03.1134725,bl,1.48,18.561,>18.561,99.99,-0.031,0.027,g
2459523.841,2021-11-05.3364752,bD,1.67,18.978,>18.978,99.99,-0.032,0.019,g
2459525.354,2021-11-06.8496062,bp,1.57,18.579,>18.579,99.99,-0.016,0.027,g
2459527.276,2021-11-08.7714706,bp,2.41,17.739,16.724,0.086,0.742,0.058,g
