###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58318.403843  18.998  0.173    91   16 o  0   1.02 252.70876  45.39802  7512.18  5218.46 3.49 2.94 -84.9 -0.427 19.26 20.81 01a58318o0358o
58320.385639  18.717  0.275   118   33 o  0   1.37 252.70876  45.39802  1755.95  5490.48 2.33 2.08 -38.6 -0.440 18.29 18.76 02a58320o0326o
58320.395951  19.182  0.154    77   12 o  0   1.29 252.70876  45.39802  1744.93  5450.76 2.02 1.89 -18.9 -0.463 19.38 20.32 02a58320o0348o
58320.406951  18.887  0.145   101   15 o  0   0.83 252.70876  45.39802  1797.03  5525.45 2.10 1.93 -37.0 -0.447 19.34 20.30 02a58320o0372o
58320.412720  18.863  0.119   104   12 o  0   1.06 252.70876  45.39802  1811.34  5407.44 2.10 1.96 -31.0 -0.449 19.45 20.46 02a58320o0384o
58322.373068  18.769  0.183   113   21 o  0   0.99 252.70876  45.39802  6626.69  5831.39 3.26 3.02 -82.9 -0.416 18.92 20.17 01a58322o0292o
58322.381849  18.858  0.203   104   21 o  0   1.43 252.70876  45.39802  6642.16  5869.63 3.44 3.35 -50.2 -0.396 18.83 20.13 01a58322o0311o
58322.390342  18.620  0.143   129   18 o  0   1.06 252.70876  45.39802  6585.76  5793.44 3.17 2.95 -78.7 -0.428 18.91 20.10 01a58322o0329o
58322.402309  19.000  0.250    91   23 o  0   0.90 252.70876  45.39802  6573.84  5909.47 3.34 2.99 -81.4 -0.413 18.86 20.09 01a58322o0355o
58324.376523  19.073  0.190    85   16 o  0   1.12 252.70876  45.39802  1691.65  5546.98 1.94 1.82 -24.0 -0.465 19.21 19.79 02a58324o0299o
58324.385328  18.742  0.137   116   16 o  0   1.18 252.70876  45.39802  1659.56  5509.27 1.94 1.79 -21.1 -0.470 19.21 19.77 02a58324o0318o
58324.393386  18.638  0.124   127   16 o  0   1.11 252.70876  45.39802  1729.00  5583.06 1.89 1.80 -25.4 -0.489 19.13 19.71 02a58324o0335o
58324.406208  18.561  0.146   137   20 o  0   1.91 252.70876  45.39802  1743.94  5464.53 1.93 1.83 -12.1 -0.469 18.81 19.47 02a58324o0363o
58328.264302  18.410  0.085   157   13 o  0   1.55 252.70876  45.39802  7856.96  4192.20 2.15 2.05 -62.8 -0.441 19.32 20.21 02a58328o0064o
