###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58256.428251 -22.252  2.152    -5   10 c  0   1.18 208.90703  40.47754  4278.94  7708.86 2.58 2.48   1.5 -0.447 19.81 21.85 02a58256o0278c
58256.442679 -21.993  1.651    -6   10 c  0   1.33 208.90703  40.47754  4339.39  7786.07 2.54 2.46   2.2 -0.441 19.76 21.83 02a58256o0309c
58256.446585  21.447  1.014    10   10 c  0   1.31 208.90703  40.47754  4353.10  7667.79 2.59 2.48 -31.7 -0.418 19.75 21.81 02a58256o0317c
58258.470411  20.976  1.206    15   18 o  0   0.96 208.90703  40.47754  3776.31  5301.79 3.28 3.17   9.8 -0.419 19.15 20.77 01a58258o0464o
58258.483979  21.774  2.647     7   19 o  0   0.85 208.90703  40.47754  3814.13  5385.99 3.04 3.02  54.6 -0.431 19.16 20.66 01a58258o0491o
58258.500473  21.555  2.561     9   22 o  0   0.77 208.90703  40.47754  3800.70  5360.98 3.12 2.95  78.2 -0.430 19.12 20.55 01a58258o0526o
58258.509697  20.801  1.113    17   19 o  0   1.03 208.90703  40.47754  3790.13  5503.67 3.17 2.97  76.5 -0.431 19.12 20.59 01a58258o0545o
58260.481251  20.413  0.547    25   14 o  0   1.04 208.90703  40.47754  6335.58  7792.36 2.21 2.01 -30.4 -0.439 19.62 20.87 02a58260o0516o
58260.494563  22.011  2.309     6   13 o  0   0.82 208.90703  40.47754  6320.10  7752.71 2.19 1.97 -33.1 -0.449 19.65 20.84 02a58260o0543o
58260.502727  19.995  0.458    36   17 o  0   1.03 208.90703  40.47754  6378.28  7835.01 2.32 2.07 -42.2 -0.429 19.12 20.23 02a58260o0560o
58262.403980 -20.843  3.534   -17   59 o  0   1.19 208.90703  40.47754  3109.16  4339.40 3.15 3.01  -0.7 -0.435 17.79 19.30 01a58262o0350o
58262.415962  20.742  1.437    18   26 o  0   1.38 208.90703  40.47754  3133.79  4424.75 2.99 2.95  -1.0 -0.453 18.57 19.71 01a58262o0376o
58262.420288 -21.174  2.293   -12   28 o  0   0.92 208.90703  40.47754  3079.39  4363.98 3.05 2.91  -3.5 -0.450 18.61 19.63 01a58262o0385o
58262.435068 -22.700  6.929    -3   21 o  0   1.21 208.90703  40.47754  3081.04  4535.10 3.15 3.04   6.6 -0.450 18.81 19.97 01a58262o0417o
58264.409421  22.269 10.031     4   45 o  0   1.98 208.90703  40.47754  5361.38  6872.96 2.21 2.05 -40.1 -0.500 17.99 18.12 02a58264o0376o
58264.421791 -20.970  3.839   -15   57 o  0   1.06 208.90703  40.47754  5345.35  6833.06 2.14 1.97 -37.7 -0.434 17.87 18.16 02a58264o0403o
58264.426663  18.720  0.480   118   57 o  0   1.43 208.90703  40.47754  5402.90  6909.91 2.47 2.32 -39.4 -0.448 17.83 18.25 02a58264o0413o
58264.441983 -20.479  4.985   -23  116 o  0   1.36 208.90703  40.47754  5418.73  6794.02 2.14 2.01 -30.4 -0.451 17.22 17.36 02a58264o0446o
58266.386855  19.949  0.731    38   28 o  0   1.22 208.90703  40.47754  4748.88  3232.00 3.27 3.06   5.6 -0.439 18.55 19.59 01a58266o0310o
58266.394368  21.063  2.000    14   27 o  0   1.32 208.90703  40.47754  4769.60  3299.94 3.21 3.03  -5.7 -0.442 18.56 19.57 01a58266o0326o
