###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58250.383651  15.459  0.022  2378   53 o  0 142.81 174.24897  55.16395   916.30  5090.56 3.02 2.74  76.8 -0.454 19.01 20.61 01a58250o0318o
58250.390116  15.764  0.027  1796   49 o  0  88.33 174.24897  55.16395   904.62  5210.50 3.31 2.98  76.3 -0.449 18.77 20.44 01a58250o0332o
58251.467109   0.000 21.288    -0   11 c  0   1.29 174.24897  55.16395  6927.58  5624.95 2.76 2.65 -38.5 -0.390 19.50 21.28 02a58251o0511c
58251.477739  21.160  0.935    12   12 c  0   1.30 174.24897  55.16395  6925.24  5630.16 2.80 2.53 -48.8 -0.387 19.51 21.23 02a58251o0533c
58251.490726 -21.394  1.133   -10   11 c  0   1.20 174.24897  55.16395  6912.62  5615.09 2.78 2.57 -50.4 -0.391 19.43 21.16 02a58251o0559c
58251.501070 -20.950  0.787   -15   12 c  0   1.26 174.24897  55.16395  6922.73  5638.10 2.67 2.47 -40.3 -0.398 19.44 21.09 02a58251o0580c
58252.409722  26.066 73.000     0   10 c  0   1.31 174.24897  55.16395  6936.78  5612.25 2.52 2.50 -48.6 -0.410 19.68 21.46 02a58252o0370c
58252.427726  21.755  1.364     7   10 c  0   1.01 174.24897  55.16395  6934.99  5617.11 2.46 2.43 -17.3 -0.414 19.67 21.38 02a58252o0404c
58252.446325  21.713  1.491     8   11 c  0   1.15 174.24897  55.16395  6922.97  5598.50 2.55 2.47 -35.3 -0.408 19.61 21.27 02a58252o0443c
58252.449603  23.159  5.286     2   10 c  0   1.47 174.24897  55.16395  6931.63  5609.92 2.56 2.48 -41.5 -0.401 19.58 21.26 02a58252o0450c
58254.382223  20.542  0.612    22   14 o  0   1.80 174.24897  55.16395  4406.83  6891.31 3.14 2.97 -86.8 -0.435 19.21 20.87 01a58254o0273o
58254.394717  22.225  3.500     5   16 o  0   1.09 174.24897  55.16395  4452.32  6970.69 3.06 2.97  76.8 -0.438 19.18 20.80 01a58254o0299o
58254.401165 -20.441  0.595   -24   14 o  0   1.32 174.24897  55.16395  4399.88  6916.21 3.17 2.95  89.1 -0.434 19.18 20.76 01a58254o0313o
58254.420277  21.025  1.092    14   15 o  0   1.41 174.24897  55.16395  4433.37  7090.27 3.22 2.91  88.0 -0.439 19.19 20.64 01a58254o0354o
58256.361111 -20.708  0.527   -19   10 c  0   1.49 174.24897  55.16395  6006.56  7184.67 2.85 2.77  18.1 -0.405 19.63 21.68 02a58256o0134c
58256.376568 -21.143  0.762   -13   10 c  0   1.44 174.24897  55.16395  5984.83  7143.04 2.64 2.60   3.2 -0.409 19.68 21.61 02a58256o0167c
58256.382513  21.542  1.066     9    9 c  0   1.28 174.24897  55.16395  6050.31  7219.21 2.59 2.50  23.5 -0.424 19.67 21.61 02a58256o0180c
58256.393773  21.317  0.864    11    9 c  0   1.47 174.24897  55.16395  6061.00  7105.10 2.49 2.41  13.6 -0.417 19.70 21.59 02a58256o0204c
58258.382730 -21.526  2.345    -9   21 o  0   1.03 174.24897  55.16395  2030.02  5828.97 3.78 3.71  46.4 -0.395 18.94 20.66 01a58258o0291o
58258.396471 -22.921  7.273    -2   18 o  0   1.13 174.24897  55.16395  2072.78  5913.10 3.26 3.01   9.2 -0.430 19.14 20.71 01a58258o0317o
58258.409688  21.658  2.184     8   17 o  0   1.04 174.24897  55.16395  2039.03  5874.21 3.04 2.93  66.6 -0.441 19.16 20.66 01a58258o0342o
58258.433254 -22.809  7.167    -3   20 o  0   1.08 174.24897  55.16395  2077.83  6055.05 3.23 3.03  68.6 -0.430 19.02 20.45 01a58258o0388o
58260.389289  21.670  2.794     8   22 o  0   0.79 174.24897  55.16395  8043.29  7280.92 2.12 2.02 -25.0 -0.462 19.00 19.75 02a58260o0338o
58260.406055  21.013  1.831    14   26 o  0   1.39 174.24897  55.16395  8027.42  7239.96 2.40 2.12 -32.0 -0.419 18.50 19.39 02a58260o0372o
