HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459866.877,2022-10-14.3815321,bl,1.6,16.19,>16.190,99.99,-0.57,0.243,g
2459867.131,2022-10-14.6353052,bC,1.41,17.183,>17.183,99.99,0.094,0.097,g
2459868.871,2022-10-16.3753509,bH,1.52,17.222,>17.222,99.99,-0.002,0.094,g
2459870.119,2022-10-17.6221667,bC,1.46,17.455,>17.455,99.99,-0.047,0.076,g
2459871.877,2022-10-19.3804187,bl,2.02,15.821,>15.821,99.99,0.303,0.341,g
2459872.125,2022-10-19.6288761,bC,1.47,17.849,17.698,0.191,0.303,0.053,g
2459872.617,2022-10-20.1211678,bp,1.59,15.86,>15.860,99.99,0.782,0.329,g
2459873.611,2022-10-21.1143108,bp,1.57,16.792,>16.792,99.99,-0.188,0.139,g
2459874.125,2022-10-21.6279561,bC,1.53,17.738,>17.738,99.99,-0.076,0.058,g
2459874.999,2022-10-22.5022995,bs,1.52,16.584,>16.584,99.99,0.319,0.169,g
2459877.108,2022-10-24.6112687,bC,1.66,17.97,>17.970,99.99,-0.036,0.047,g
2459877.127,2022-10-24.6303849,bD,1.58,18.127,>18.127,99.99,-0.003,0.041,g
2459879.849,2022-10-27.3522348,bH,1.64,17.938,>17.938,99.99,0,0.049,g
2459880.852,2022-10-28.3553361,bl,1.47,17.84,>17.840,99.99,-0.091,0.053,g
2459881.857,2022-10-29.3596076,bl,1.48,17.796,>17.796,99.99,-0.087,0.055,g
2459882.846,2022-10-30.3489488,bl,1.49,17.693,>17.693,99.99,0.161,0.061,g
2459883.001,2022-10-30.5040836,bs,1.46,17.583,>17.583,99.99,0.053,0.067,g
2459883.843,2022-10-31.3463931,bH,1.46,17.909,>17.909,99.99,0.206,0.05,g
2459892.556,2022-11-09.0575260,bo,1.52,16.349,>16.349,99.99,-0.085,0.21,g
2459892.596,2022-11-09.0985157,bp,1.56,16.56,>16.560,99.99,-0.155,0.173,g
2459894.089,2022-11-10.5907195,bD,1.79,17.173,>17.173,99.99,-0.064,0.098,g
2459898.564,2022-11-15.0657082,bp,2.01,16.244,>16.244,99.99,0.323,0.231,g
2459898.59,2022-11-15.0917822,bo,1.46,16.535,>16.535,99.99,0.249,0.177,g
2459898.787,2022-11-15.2881826,bG,1.4,17.364,>17.364,99.99,-0.051,0.082,g
2459899.585,2022-11-16.0864097,bp,1.54,16.999,>16.999,99.99,0.024,0.115,g
2459900.535,2022-11-17.0364872,bo,1.49,17.072,>17.072,99.99,0.1,0.108,g
2459900.962,2022-11-17.4635748,bt,2.13,17.301,>17.301,99.99,-0.012,0.087,g
