HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459869,2022-10-16.4953189,bD,1.47,18.377,>18.377,99.99,0.087,0.032,g
2459870.026,2022-10-17.5213917,bD,1.46,18.599,>18.599,99.99,-0.04,0.026,g
2459870.71,2022-10-18.2052589,bH,1.46,18.026,>18.026,99.99,-0.117,0.045,g
2459871.006,2022-10-18.5004880,bD,1.54,18.526,>18.526,99.99,-0.008,0.028,g
2459871.848,2022-10-19.3429482,bD,1.45,18.772,>18.772,99.99,-0.058,0.023,g
2459872.617,2022-10-20.1118555,bt,1.72,18.407,>18.407,99.99,-0.035,0.031,g
2459873.028,2022-10-20.5233940,bD,1.45,18.588,>18.588,99.99,0.022,0.027,g
2459874.868,2022-10-22.3631762,bt,1.51,18.539,>18.539,99.99,-0.036,0.028,g
2459875.705,2022-10-23.1997164,bt,1.46,18.667,>18.667,99.99,-0.045,0.025,g
2459876.675,2022-10-24.1694614,bH,1.45,18.144,>18.144,99.99,-0.039,0.04,g
2459877.694,2022-10-25.188775,bH,1.48,18.183,>18.183,99.99,0,0.039,g
2459879.687,2022-10-27.1822990,bH,1.51,18.02,>18.020,99.99,0.101,0.045,g
2459879.848,2022-10-27.3430940,bt,1.52,18.448,>18.448,99.99,0.001,0.03,g
2459884.726,2022-11-01.2206456,bt,1.49,18.56,>18.560,99.99,-0.05,0.027,g
2459885.723,2022-11-02.2179844,bt,1.5,18.065,>18.065,99.99,0.15,0.043,g
2459886.727,2022-11-03.2214767,bt,1.46,17.75,>17.750,99.99,-0.018,0.058,g
2459892.992,2022-11-09.4871430,bD,1.6,17.158,>17.158,99.99,-0.066,0.1,g
2459893.933,2022-11-10.4284980,bD,1.58,17.321,>17.321,99.99,0.167,0.086,g
2459894.637,2022-11-11.1324349,bH,2.12,14.486,>14.486,99.99,2.096,1.166,g
2459897.629,2022-11-14.1245723,bH,1.44,18.227,>18.227,99.99,-0.008,0.037,g
2459897.777,2022-11-14.2720605,bt,1.5,18.087,>18.087,99.99,0.157,0.042,g
2459898.619,2022-11-15.1139605,bl,1.55,17.996,>17.996,99.99,0.005,0.046,g
2459899.948,2022-11-16.4428489,bD,1.49,18.299,>18.299,99.99,0.066,0.035,g
2459900.869,2022-11-17.3646449,bD,1.49,18.629,>18.629,99.99,0.065,0.026,g
2459902.831,2022-11-19.3263611,bD,1.47,18.564,>18.564,99.99,0.065,0.027,g
2459906.934,2022-11-23.4296877,bD,1.51,18.383,>18.383,99.99,0.123,0.032,g
2459907.852,2022-11-24.3471756,bD,1.52,19.125,>19.125,99.99,-0.022,0.016,g
2459908.584,2022-11-25.0795012,bH,1.47,18.081,>18.081,99.99,-0.019,0.043,g
2459909.577,2022-11-26.0724913,bH,1.47,18.143,>18.143,99.99,0.121,0.04,g
2459912.789,2022-11-29.2842119,bt,1.49,18.631,>18.631,99.99,-0.002,0.026,g
2459915.56,2022-12-02.0554324,bt,1.47,17.666,>17.666,99.99,-0.037,0.062,g
2459916.799,2022-12-03.2950040,bt,1.48,17.38,>17.380,99.99,-0.091,0.081,g
2459926.893,2022-12-13.3895243,bD,1.52,17.801,>17.801,99.99,0.113,0.055,g
2459928.833,2022-12-15.3293111,bD,1.55,18.778,>18.778,99.99,0.016,0.022,g
2459933.789,2022-12-20.2856020,bt,1.48,18.294,>18.294,99.99,0.061,0.035,g
2459960.797,2023-01-16.2966054,bD,1.63,18.396,>18.396,99.99,0.066,0.032,g
2459965.688,2023-01-21.1875754,bt,1.56,18.697,>18.697,99.99,0.003,0.024,g
2459971.652,2023-01-27.1521192,bt,2.27,18.143,>18.143,99.99,-0.141,0.04,g
2459974.609,2023-01-30.1092696,bt,1.71,17.669,>17.669,99.99,-0.111,0.062,g
2459992.609,2023-02-17.1110030,bt,2.39,18.191,>18.191,99.99,0.086,0.038,g
