         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57515.399194 19.436675      NaN   10    17 c    0   3.72 196.6049 53.47931 10269.05  8802.76 4.61 3.51  82.5 -0.429    19.61 21.66 02a57515o0374c  0x80000  26.713312
57545.325524 19.212347      NaN   27    16 c    0   3.47 196.6049 53.47931  8171.93  6466.31 4.26 3.69  84.4 -0.436    19.57 21.68 02a57545o0182c   0x0000  26.088331
57545.337161 19.089302      NaN   39    15 c    0   3.48 196.6049 53.47931  8150.85  6427.31 4.46 3.84  80.4 -0.430    19.53 21.70 02a57545o0206c 0x400400  25.487272
57545.340065 19.063754      NaN   38    16 c    0   2.60 196.6049 53.47931  8210.33  6507.69 4.26 3.66  80.6 -0.440    19.58 21.69 02a57545o0212c  0x80000  26.088331
57545.352691 19.569016 0.361912   54    18 c    0   4.52 196.6049 53.47931  8234.79  6393.14 4.17 3.51  84.6 -0.441    19.59 21.67 02a57545o0238c  0x80000  27.360574
57545.362369 18.776955 0.174493  112    18 c    0   4.15 196.6049 53.47931  8188.64  6449.74 4.38 3.77  82.6 -0.433    19.51 21.64 02a57545o0258c 0x400100  27.360574
57549.324279 19.419021      NaN    2    20 c    0   5.15 196.6049 53.47931  9477.70  8085.31 4.36 3.44  82.4 -0.476    19.40 21.20 02a57549o0062c   0x0001  28.715867
57549.326215 19.128787      NaN  -76    27 c    0  15.95 196.6049 53.47931    59.37  8228.04 4.37 3.78 -58.1 -0.407    19.34 21.14 02a57549o0066c 0x400801  33.964703
57549.339384 19.454622      NaN  -41    20 c    0   6.30 196.6049 53.47931    85.25  8108.46 4.35 3.75 -56.3 -0.428    19.36 21.19 02a57549o0093c  0x80001  28.715867
57549.340840 19.401649      NaN   -4    21 c    0   2.13 196.6049 53.47931  9537.02  8166.31 4.50 3.72  80.6 -0.453    19.38 21.27 02a57549o0096c   0x0000  29.421098
57549.349093 19.169763      NaN  -98    26 c    0  13.30 196.6049 53.47931    51.41  8167.38 4.47 3.82 -56.0 -0.410    19.34 21.20 02a57549o0113c 0x400801  33.175308
57549.358353 19.436675 0.338180   61    19 c    0   3.36 196.6049 53.47931  9562.79  8053.12 4.49 3.47  84.5 -0.473    19.42 21.28 02a57549o0132c  0x80000  28.028575
57549.368046 19.454622      NaN  -12    20 c    0   2.67 196.6049 53.47931  9517.16  8107.41 4.54 3.49  83.6 -0.455    19.43 21.31 02a57549o0152c   0x0000  28.715867
57581.280180 19.183773      NaN    5    24 c    0   1.52 196.6049 53.47931  1380.72  5370.79 4.21 3.82 -53.4 -0.450    18.95 20.49 02a57581o0062c  0x80000  31.632278
57581.291743 19.212347      NaN  -22    25 c    0   1.85 196.6049 53.47931  1437.38  5444.58 4.24 3.83 -55.6 -0.464    18.93 20.48 02a57581o0085c  0x80000  32.397547
57581.300745 19.183773      NaN   11    22 c    0   2.47 196.6049 53.47931  1449.39  5326.24 4.22 3.76 -44.7 -0.465    18.93 20.45 02a57581o0103c  0x80000  30.143010
57581.318333 18.978793      NaN    6    29 c    0   1.49 196.6049 53.47931  1414.85  5383.27 4.30 3.79 -46.7 -0.459    18.87 20.39 02a57581o0139c   0x0000  35.575287
57609.262548 19.128787      NaN  -10    27 c    0   2.53 196.6049 53.47931  8357.24  8437.98 4.43 3.68  84.5 -0.464    19.08 20.71 02a57609o0065c  0x82000  33.964703
57609.285126 18.711133      NaN   35    28 c    0   3.48 196.6049 53.47931  8332.18  8397.00 4.52 3.74  87.7 -0.448    19.01 20.65 02a57609o0105c   0x2000  34.764940
57718.637334 19.128787      NaN  -12    27 c    0   1.26 196.6049 53.47931 10212.66  4303.81 4.37 4.12  89.7 -0.399    19.04 21.00 02a57718o0852c  0x82000  33.964703
57718.649873 18.169360      NaN   79    39 c    0   2.92 196.6049 53.47931 10222.72  4343.07 4.44 4.20  85.7 -0.401    18.53 20.34 02a57718o0876c  0x82000  44.108968
57718.660219 17.473643      NaN  -48   124 c    0   1.39 196.6049 53.47931 10165.41  4271.20 5.03 4.78 -86.5 -0.424    17.34 18.40 02a57718o0896c 0x402100 125.700442
57746.600897 16.366853 0.014743 1031    14 c    0 100.48 196.6049 53.47931  2574.13  4072.21 4.38 4.30  87.9 -0.363    19.53 21.70 02a57746o0794c 0x402801  24.911865
57746.612400 19.609992      NaN    4    16 c    0   2.40 196.6049 53.47931  2596.63  4112.26 4.04 3.91  84.3 -0.376    19.63 21.69 02a57746o0816c 0x402100  26.088331
57746.623909 19.766969      NaN  -10    15 c    0   2.28 196.6049 53.47931  2539.11  4033.33 4.36 4.23  85.6 -0.368    19.55 21.68 02a57746o0838c  0x82000  25.487272
57746.635317 19.115465      NaN   28    18 c    0   2.69 196.6049 53.47931  2514.32  4150.00 4.11 3.99  86.9 -0.383    19.43 21.45 02a57746o0860c 0x402400  27.360574
57746.646727 19.318728      NaN   23    15 c    0   2.96 196.6049 53.47931  2562.31  4094.61 4.05 3.93  83.2 -0.383    19.64 21.69 02a57746o0882c  0x82000  25.487272
57750.582246 19.401649      NaN   -4    21 c    0   1.89 196.6049 53.47931  9948.24  2180.03 4.46 4.25  76.1 -0.391    19.49 21.63 02a57750o0591c   0x2000  29.421098
57778.546844 19.569016      NaN  -29    18 c    0   2.85 196.6049 53.47931 10272.54  1893.96 4.06 3.68  64.5 -0.473    19.84 21.90 02a57778o0525c  0x80000  27.360574
57778.557530 19.014394      NaN   39    17 c    0   1.67 196.6049 53.47931 10286.51  1937.08 4.00 3.63  68.3 -0.477    19.85 21.93 02a57778o0544c  0x80000  26.713312
57778.563465 19.549093      NaN    4    17 c    0   2.61 196.6049 53.47931   788.05  1936.87 4.05 3.88 -37.9 -0.409    19.83 21.91 02a57778o0555c  0x80000  26.713312
57778.569664 19.128787      NaN   30    17 c    0   2.44 196.6049 53.47931 10243.66  1863.48 3.99 3.63  68.9 -0.473    19.86 21.94 02a57778o0566c  0x80000  26.713312
57778.576131 19.197966      NaN   31    15 c    0   4.08 196.6049 53.47931   812.45  1978.10 4.01 3.86 -43.4 -0.404    19.81 21.87 02a57778o0577c  0x80000  25.487272
57778.583046 19.569016      NaN   -5    18 c    0   2.49 196.6049 53.47931 10219.75  1984.20 3.97 3.59  70.8 -0.469    19.84 21.89 02a57778o0590c  0x80000  27.360574
57778.588926 19.197966 0.200004   76    14 c    0   5.52 196.6049 53.47931   755.73  1897.15 4.02 3.90 -44.2 -0.403    19.82 21.88 02a57778o0601c  0x80001  24.911865
57778.595863 19.334813      NaN   19    16 c    0   2.08 196.6049 53.47931 10254.42  1925.50 3.95 3.57  71.4 -0.471    19.86 21.90 02a57778o0614c  0x80000  26.088331
57778.601793 19.549093      NaN   10    15 c    0   3.12 196.6049 53.47931   745.40  2013.64 3.99 3.88 -46.2 -0.404    19.84 21.90 02a57778o0625c  0x80000  25.487272
57778.614709 19.841877      NaN   -7    14 c    0   3.14 196.6049 53.47931   780.87  1960.82 3.96 3.85 -40.5 -0.408    19.86 21.91 02a57778o0649c  0x80000  24.911865
