         MJD         m       dm      uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    duJy_new  uJy_offset
57466.512343 18.738855      NaN   -10.12    34 o    0    4.11 196.6049 53.47931   979.29  6303.87  4.24 3.35 -57.7 -0.503    18.71 20.01 02a57466o0607o  0x80000   41.880923      -24.12
57466.513312 18.684100      NaN    -7.12    35 o    0    6.76 196.6049 53.47931 10441.43  6347.89  4.51 2.98  82.1 -0.472    18.76 20.09 02a57466o0609o  0x80001   42.696741      -24.12
57474.458919 18.729535      NaN   -34.12    39 o    0    6.26 196.6049 53.47931    87.33  7508.47  4.65 3.37 -60.7 -0.457    18.70 19.96 02a57474o0445o 0x400101   46.032724      -24.12
57474.480755 18.255804      NaN    45.88    37 o    0    3.28 196.6049 53.47931  9553.63  7423.93  4.37 3.00  84.3 -0.497    18.71 19.97 02a57474o0483o   0x0000   44.351006      -24.12
57474.484085 18.489118      NaN    10.88    37 o    0    3.33 196.6049 53.47931  1387.65  3834.68  4.47 3.43 -37.4 -0.519    18.73 19.97 02a57474o0489o  0x80000   44.351006      -24.12
57474.494871 18.978793      NaN   -26.12    31 o    0    7.27 196.6049 53.47931   942.97  6292.38  4.19 3.26 -59.9 -0.505    18.73 19.96 02a57474o0508o   0x0001   39.484322      -24.12
57474.517523 18.079051      NaN    56.88    44 o    0    2.44 196.6049 53.47931 10399.98  6336.36  4.44 2.90  83.1 -0.471    18.70 19.94 02a57474o0547o 0x400100   50.338968      -24.12
57474.519393 18.836735      NaN   -14.12    32 o    0    6.60 196.6049 53.47931   962.61  6314.59  4.18 3.28 -59.9 -0.507    18.71 19.95 02a57474o0550o 0x400101   40.274207      -24.12
57474.538735 18.158337      NaN    71.88    34 o    0    4.85 196.6049 53.47931 10414.05  6360.26  4.33 2.79  84.0 -0.487    18.71 19.92 02a57474o0583o  0x80000   41.880923      -24.12
57492.391271 19.002397      NaN   -11.12    26 o    0    3.73 196.6049 53.47931  1145.98  3300.57  4.44 3.59 -37.1 -0.456    19.02 20.45 02a57492o0363o   0x0000   35.693301      -24.12
57492.404012 18.738855      NaN    10.88    27 o    0    3.29 196.6049 53.47931  1433.03  3908.36  4.25 3.59 -33.3 -0.460    19.00 20.41 02a57492o0385o  0x80000   36.428172      -24.12
57492.405565 19.128787      NaN   -39.12    27 o    0    3.85 196.6049 53.47931   899.23  6217.38  4.06 3.50 -53.8 -0.467    19.00 20.43 02a57492o0388o   0x0000   36.428172      -24.12
57492.411016 18.826541      NaN    16.88    22 o    0    6.40 196.6049 53.47931   993.58  6305.44  4.11 3.61 -48.8 -0.451    19.00 20.52 02a57492o0397o   0x0001   32.893947      -24.12
57492.412706 18.582238      NaN    37.88    24 o    0    6.76 196.6049 53.47931   285.63  4416.66  4.35 3.49 -46.6 -0.432    19.08 20.52 02a57492o0400o   0x0001   34.263854      -24.12
57492.432424 18.867907      NaN     0.88    26 o    0    2.73 196.6049 53.47931   198.01  4317.66  4.41 3.55 -44.1 -0.433    19.10 20.59 02a57492o0437o  0x80000   35.693301      -24.12
57523.336082 18.526952      NaN    17.88    33 o    0    2.31 196.6049 53.47931  1994.46  7616.89  3.92 3.44 -66.1 -0.469    18.81 20.11 02a57523o0179o  0x80000   41.073248      -24.12
57523.344310 18.910912      NaN   -46.12    33 o    0    2.57 196.6049 53.47931  1985.03  7575.61  4.01 3.51 -63.8 -0.477    18.79 20.13 02a57523o0196o 0x400200   41.073248      -24.12
57523.361979 18.511660      NaN    25.88    31 o    0    2.26 196.6049 53.47931  2042.97  7655.94  4.07 3.57 -63.9 -0.462    18.77 20.12 02a57523o0232o  0x80000   39.484322      -24.12
57523.367785 18.389700      NaN    42.88    31 o    0    4.77 196.6049 53.47931  2058.89  7537.34  3.83 3.35 -63.5 -0.478    18.81 20.10 02a57523o0244o   0x0000   39.484322      -24.12
57523.377225 19.051202      NaN   -39.12    29 o    0    2.55 196.6049 53.47931  2024.89  7599.97  4.03 3.53 -62.1 -0.470    18.76 20.10 02a57523o0263o  0x80000   37.934308      -24.12
57527.338587 18.729535      NaN   -84.12    39 o    0    2.24 196.6049 53.47931   289.32  7900.43  4.39 3.67 -62.9 -0.451    18.48 19.52 02a57527o0064o  0x80000   46.032724      -24.12
57527.341008 18.029238      NaN    60.88    46 o    0    1.95 196.6049 53.47931  9758.92  7860.02  4.54 3.48  82.9 -0.506    18.47 19.53 02a57527o0069o  0x80000   52.096178      -24.12
57527.349758 18.152867      NaN    54.88    40 o    0    2.70 196.6049 53.47931   280.99  7860.38  4.45 3.59 -62.4 -0.447    18.47 19.50 02a57527o0087o 0x400100   46.882958      -24.12
57527.350242 18.174913      NaN    26.88    48 o    0    1.51 196.6049 53.47931  9737.58  7820.27  4.58 3.29  84.4 -0.496    18.46 19.51 02a57527o0088o  0x80000   53.870323      -24.12
57527.352181 18.598565      NaN   -99.12    44 o    0    2.50 196.6049 53.47931   339.06  7933.12  4.55 3.66 -61.9 -0.463    18.45 19.50 02a57527o0092o   0x0000   50.338968      -24.12
57527.365352 18.675237      NaN   -54.12    41 o    0    2.28 196.6049 53.47931   348.99  7819.28  4.52 3.58 -62.4 -0.468    18.44 19.46 02a57527o0118o  0x80000   47.738996      -24.12
57527.366874 18.438271      NaN   -55.12    51 o    0    1.56 196.6049 53.47931  9793.24  7906.64  4.77 3.29  84.6 -0.504    18.44 19.48 02a57527o0121o  0x80000   56.559807      -24.12
57527.374622 18.417189      NaN   -37.12    52 o    0    1.60 196.6049 53.47931  9821.06  7792.38  4.74 3.16  85.3 -0.479    18.45 19.47 02a57527o0137o  0x80000   57.463134      -24.12
57527.375590 18.649074      NaN   -34.12    42 o    0    2.85 196.6049 53.47931   320.41  7876.39  4.53 3.55 -61.8 -0.463    18.42 19.45 02a57527o0139o   0x0000   48.600532      -24.12
57527.385767 18.424171      NaN    -4.12    45 o    0    3.09 196.6049 53.47931  9777.87  7852.76  4.76 3.38  84.9 -0.503    18.41 19.44 02a57527o0158o   0x0000   51.215347      -24.12
57535.314666 16.612820      NaN   356.88   147 o    0    3.86 196.6049 53.47931    65.21  6723.08  4.45 3.51 -61.6 -0.430    17.32 18.81 02a57535o0179o 0x402800  149.020172      -24.12
